endTime,addr,countSuccess,totalTimeout,consecutiveTimeout,code,affected
1654718857,81.252.246.63:80,0,3,3,timeout,unknown
1654718857,69.49.105.232:80,0,3,3,timeout,unknown
1654718857,66.175.46.204:80,0,3,3,timeout,unknown
1654718857,223.164.122.182:80,0,3,3,timeout,unknown
1654718857,95.159.2.105:80,0,3,3,timeout,unknown
1654718857,95.159.16.29:80,0,3,3,timeout,unknown
1654718857,95.159.20.204:80,0,3,3,timeout,unknown
1654718857,158.228.197.230:80,0,3,3,timeout,unknown
1654718857,66.175.40.103:80,0,3,3,timeout,unknown
1654718857,69.49.106.92:80,0,3,3,timeout,unknown
1654718857,207.170.147.115:80,0,3,3,timeout,unknown
1654718857,163.197.72.209:80,0,3,3,timeout,unknown
1654718857,63.160.176.33:80,0,3,3,timeout,unknown
1654718857,95.159.0.168:80,0,3,3,timeout,unknown
1654718857,216.55.149.169:80,0,3,3,timeout,unknown
1654718857,95.159.6.240:80,0,3,3,timeout,unknown
1654718857,163.197.82.11:80,0,3,3,timeout,unknown
1654718857,66.42.44.96:80,0,3,3,timeout,unknown
1654718857,153.92.209.39:80,0,3,3,timeout,unknown
1654718857,64.29.147.147:80,0,3,3,timeout,unknown
1654718857,158.228.156.180:80,0,0,0,dial tcp 158.228.156.180:80: connect: connection refused,unknown
1654718857,209.216.94.157:80,0,3,3,timeout,unknown
1654718857,194.163.40.179:80,0,0,0,dial tcp 194.163.40.179:80: connect: no route to host,unknown
1654718858,163.197.107.13:80,1,3,3,timeout,true
1654718858,207.170.146.1:80,0,3,3,timeout,unknown
1654718858,223.164.32.111:80,1,3,3,timeout,true
1654718858,223.164.96.83:80,1,3,3,timeout,true
1654718858,223.164.120.59:80,1,3,3,timeout,true
1654718858,223.164.20.9:80,1,3,3,timeout,true
1654718858,223.164.100.91:80,1,3,3,timeout,true
1654718858,223.164.104.151:80,1,3,3,timeout,true
1654718858,223.164.88.147:80,1,3,3,timeout,true
1654718858,223.164.121.84:80,1,3,3,timeout,true
1654718858,223.164.78.39:80,1,3,3,timeout,true
1654718858,223.164.38.153:80,1,3,3,timeout,true
1654718858,223.164.63.246:80,1,3,3,timeout,true
1654718858,223.164.24.67:80,1,3,3,timeout,true
1654718858,223.164.42.89:80,1,3,3,timeout,true
1654718858,223.164.61.174:80,1,3,3,timeout,true
1654718858,139.180.148.38:80,0,0,0,dial tcp 139.180.148.38:80: connect: connection refused,unknown
1654718859,23.10.220.180:80,25,0,0,,false
1654718859,23.10.201.89:80,25,0,0,,false
1654718859,23.10.202.144:80,25,0,0,,false
1654718859,23.10.222.222:80,25,0,0,,false
1654718859,173.247.246.129:80,25,0,0,,false
1654718859,23.35.185.140:80,25,0,0,,false
1654718859,216.194.169.38:80,25,0,0,,false
1654718859,23.10.196.174:80,25,0,0,,false
1654718859,192.249.113.235:80,25,0,0,,false
1654718859,23.10.219.46:80,25,0,0,,false
1654718859,23.10.209.123:80,25,0,0,,false
1654718859,23.46.211.144:80,25,0,0,,false
1654718859,23.235.223.195:80,25,0,0,,false
1654718859,23.10.208.189:80,25,0,0,,false
1654718859,194.195.84.223:80,25,0,0,,false
1654718859,173.247.244.133:80,25,0,0,,false
1654718859,156.67.71.11:80,25,0,0,,false
1654718859,156.67.64.221:80,25,0,0,,false
1654718859,23.10.210.130:80,25,0,0,,false
1654718859,185.214.133.18:80,25,0,0,,false
1654718859,66.42.40.134:80,2,3,3,timeout,true
1654718859,156.67.67.159:80,25,0,0,,false
1654718859,156.67.70.205:80,25,0,0,,false
1654718859,139.180.146.164:80,2,3,3,timeout,true
1654718859,194.163.44.1:80,25,0,0,,false
1654718860,181.200.158.145:80,2,3,3,timeout,true
1654718860,181.200.50.61:80,2,3,3,timeout,true
1654718860,186.65.192.185:80,2,3,3,timeout,true
1654718860,223.164.99.163:80,2,3,3,timeout,true
1654718860,156.67.76.53:80,25,0,0,,false
1654718860,104.152.109.17:80,25,0,0,,false
1654718860,157.230.33.28:80,25,0,0,,false
1654718860,104.247.74.225:80,0,0,0,dial tcp 104.247.74.225:80: connect: no route to host,unknown
1654718860,194.195.42.184:80,0,3,3,timeout,unknown
1654718860,157.230.41.189:80,25,0,0,,false
1654718860,144.208.65.70:80,0,0,0,dial tcp 144.208.65.70:80: connect: no route to host,unknown
1654718860,149.115.30.67:80,25,0,0,,false
1654718860,149.115.20.241:80,25,0,0,,false
1654718860,216.55.151.34:80,25,0,0,,false
1654718860,66.175.32.230:80,25,0,0,,false
1654718860,149.115.20.15:80,25,0,0,,false
1654718860,209.235.157.39:80,25,0,0,,false
1654718861,157.230.40.150:80,3,3,3,timeout,true
1654718861,216.55.132.238:80,25,0,0,,false
1654718861,64.29.151.22:80,25,0,0,,false
1654718861,192.249.113.207:80,25,0,0,,false
1654718861,104.247.73.147:80,25,0,0,,false
1654718861,185.28.181.133:80,25,0,0,,false
1654718861,198.46.93.41:80,25,0,0,,false
1654718861,209.235.145.104:80,25,0,0,,false
1654718861,216.55.151.95:80,25,0,0,,false
1654718861,149.115.17.1:80,25,0,0,,false
1654718861,18.66.219.147:80,25,0,0,,false
1654718861,209.216.79.162:80,25,0,0,,false
1654718861,108.139.243.253:80,25,0,0,,false
1654718861,108.139.249.156:80,25,0,0,,false
1654718861,108.156.8.177:80,25,0,0,,false
1654718861,108.139.226.98:80,25,0,0,,false
1654718861,18.66.195.168:80,25,0,0,,false
1654718861,209.235.157.51:80,25,0,0,,false
1654718861,216.251.38.76:80,25,0,0,,false
1654718861,18.66.218.77:80,25,0,0,,false
1654718861,104.152.111.147:80,0,0,0,dial tcp 104.152.111.147:80: connect: no route to host,unknown
1654718861,108.156.4.107:80,25,0,0,,false
1654718862,18.66.219.152:80,25,0,0,,false
1654718862,217.21.69.241:80,25,0,0,,false
1654718862,108.156.5.143:80,25,0,0,,false
1654718862,145.14.152.67:80,25,0,0,,false
1654718862,52.222.175.92:80,25,0,0,,false
1654718862,145.14.153.69:80,25,0,0,,false
1654718862,18.66.206.171:80,25,0,0,,false
1654718862,108.139.217.190:80,25,0,0,,false
1654718862,52.84.179.40:80,25,0,0,,false
1654718862,108.139.211.70:80,25,0,0,,false
1654718862,18.66.219.105:80,25,0,0,,false
1654718862,18.65.86.93:80,25,0,0,,false
1654718862,194.11.154.220:80,25,0,0,,false
1654718862,108.139.232.219:80,25,0,0,,false
1654718862,194.59.166.102:80,25,0,0,,false
1654718862,18.65.84.242:80,25,0,0,,false
1654718862,108.139.221.170:80,25,0,0,,false
1654718862,185.118.115.153:80,0,0,0,dial tcp 185.118.115.153:80: connect: connection refused,unknown
1654718862,108.139.235.15:80,25,0,0,,false
1654718862,216.55.150.48:80,25,0,0,,false
1654718862,158.228.218.56:80,0,0,0,dial tcp 158.228.218.56:80: connect: connection refused,unknown
1654718862,52.84.176.82:80,25,0,0,,false
1654718862,52.222.197.129:80,25,0,0,,false
1654718862,108.156.3.181:80,25,0,0,,false
1654718862,108.139.248.17:80,25,0,0,,false
1654718862,18.65.74.196:80,25,0,0,,false
1654718862,108.139.229.93:80,25,0,0,,false
1654718862,45.84.204.138:80,25,0,0,,false
1654718862,108.139.221.16:80,25,0,0,,false
1654718862,108.139.236.110:80,25,0,0,,false
1654718862,108.139.220.213:80,25,0,0,,false
1654718862,144.208.67.210:80,25,0,0,,false
1654718862,52.84.171.147:80,25,0,0,,false
1654718862,45.80.183.86:80,0,0,0,dial tcp 45.80.183.86:80: connect: no route to host,unknown
1654718862,155.97.37.165:80,4,3,3,timeout,true
1654718862,52.84.175.197:80,25,0,0,,false
1654718862,156.67.71.128:80,25,0,0,,false
1654718862,153.92.208.121:80,25,0,0,,false
1654718862,141.136.33.123:80,25,0,0,,false
1654718863,91.136.20.146:80,25,0,0,,false
1654718863,87.236.146.250:80,25,0,0,,false
1654718863,223.164.67.190:80,5,3,3,timeout,true
1654718864,209.216.87.43:80,25,0,0,,false
1654718864,45.130.228.54:80,25,0,0,,false
1654718864,18.65.80.107:80,25,0,0,,false
1654718864,13.35.63.15:80,25,0,0,,false
1654718864,143.204.16.196:80,25,0,0,,false
1654718864,143.204.19.14:80,25,0,0,,false
1654718864,143.204.17.239:80,25,0,0,,false
1654718864,157.230.34.73:80,6,3,3,timeout,true
1654718864,108.139.92.75:80,25,0,0,,false
1654718864,143.204.22.237:80,25,0,0,,false
1654718864,194.59.164.135:80,25,0,0,,false
1654718864,151.106.124.93:80,25,0,0,,false
1654718865,108.139.97.252:80,25,0,0,,false
1654718865,156.67.219.59:80,25,0,0,,false
1654718865,145.14.153.55:80,25,0,0,,false
1654718865,108.156.2.73:80,25,0,0,,false
1654718865,158.228.149.103:80,0,0,0,dial tcp 158.228.149.103:80: connect: connection refused,unknown
1654718865,108.139.89.168:80,25,0,0,,false
1654718865,108.139.98.54:80,25,0,0,,false
1654718865,18.66.201.178:80,25,0,0,,false
1654718865,185.237.144.234:80,25,0,0,,false
1654718865,151.106.127.216:80,25,0,0,,false
1654718865,31.220.110.141:80,25,0,0,,false
1654718865,31.220.110.120:80,25,0,0,,false
1654718865,45.130.231.108:80,25,0,0,,false
1654718866,194.163.40.106:80,25,0,0,,false
1654718866,185.229.113.253:80,25,0,0,,false
1654718866,142.93.184.242:80,7,3,3,timeout,true
1654718866,195.180.196.241:80,0,0,0,dial tcp 195.180.196.241:80: connect: connection refused,unknown
1654718866,195.180.198.60:80,0,0,0,dial tcp 195.180.198.60:80: connect: connection refused,unknown
1654718866,158.228.153.149:80,0,1,1,dial tcp 158.228.153.149:80: connect: connection refused,unknown
1654718866,45.80.180.41:80,25,0,0,,false
1654718867,151.106.117.160:80,0,1,1,dial tcp 151.106.117.160:80: connect: no route to host,unknown
1654718867,151.106.122.180:80,25,0,0,,false
1654718867,185.229.118.133:80,25,0,0,,false
1654718868,156.67.215.170:80,25,0,0,,false
1654718868,194.163.214.82:80,9,3,3,timeout,true
1654718868,213.190.4.133:80,25,0,0,,false
1654718869,216.251.42.249:80,0,1,1,dial tcp 216.251.42.249:80: connect: no route to host,unknown
1654718869,45.80.180.11:80,25,0,0,,false
1654718869,194.163.34.73:80,25,0,0,,false
1654718870,194.163.38.143:80,6,0,0,dial tcp 194.163.38.143:80: connect: no route to host,unknown
1654718870,199.250.213.184:80,25,0,0,,false
1654718870,151.106.122.229:80,8,0,0,dial tcp 151.106.122.229:80: connect: no route to host,unknown
1654718871,156.67.220.161:80,0,1,1,dial tcp 156.67.220.161:80: connect: no route to host,unknown
1654718871,109.106.255.45:80,9,0,0,dial tcp 109.106.255.45:80: connect: no route to host,unknown
